timestamp,elapsed_s,node,chain_shares,verified,total,uptime,pool_hashrate_khs,miners,peers_in,peers_out,orphan,dead,stale_pct,err_gentx,err_share_check,err_dns,err_traceback,err_unhandled,err_pplns,err_decay
2026-03-03 03:06:30,0,node29,134,148,148,182,2943.9,3,1,0,11,0,10.2,-1,0,0,0,0,0,0
2026-03-03 03:06:30,0,node31,117,125,125,174,1288.3,1,0,1,6,0,13.0,-1,0,0,0,0,0,0
2026-03-03 03:07:07,37,node29,164,184,184,219,3133.8,3,1,0,16,0,11.7,-1,0,0,0,0,0,0
2026-03-03 03:07:07,37,node31,172,182,182,212,1339.3,1,0,1,8,0,13.6,-1,0,0,0,0,0,0
2026-03-03 03:07:45,75,node29,187,209,209,257,3271.0,3,1,0,18,0,11.0,-1,0,0,0,0,0,0
2026-03-03 03:07:45,75,node31,197,210,210,250,1341.9,1,0,1,10,0,13.9,-1,0,0,0,0,0,0
2026-03-03 03:08:24,114,node29,213,238,238,296,3092.0,3,1,0,18,0,10.3,-1,0,0,0,0,0,0
2026-03-03 03:08:24,114,node31,217,230,230,289,1301.2,1,0,1,11,0,13.4,-1,0,0,0,0,0,0
2026-03-03 03:09:02,152,node29,251,275,275,334,3074.5,3,1,0,19,0,9.7,-1,0,0,0,0,0,0
2026-03-03 03:09:02,152,node31,237,251,251,327,1231.0,1,0,1,11,0,12.4,-1,0,0,0,0,0,0
2026-03-03 03:09:41,190,node29,273,295,295,373,3090.9,3,1,0,21,0,9.9,-1,0,0,0,0,0,0
2026-03-03 03:09:41,190,node31,280,290,290,365,1234.3,1,0,1,11,0,10.9,-1,0,0,0,0,0,0
2026-03-03 03:10:18,228,node29,293,313,313,411,3077.6,3,1,0,23,0,9.8,-1,0,0,0,0,0,0
2026-03-03 03:10:18,228,node31,300,309,309,404,1206.2,1,0,1,12,0,10.9,-1,0,0,0,0,0,0
2026-03-03 03:10:57,267,node29,317,341,341,450,3036.5,3,1,0,25,0,9.7,-1,0,0,0,0,0,0
2026-03-03 03:10:57,267,node31,324,332,332,442,1182.4,1,0,1,13,0,10.9,-1,0,0,0,0,0,0
2026-03-03 03:11:35,305,node29,354,375,375,488,2931.3,3,1,0,28,0,10.2,-1,0,0,0,0,0,0
2026-03-03 03:11:35,305,node31,360,368,368,481,1119.5,1,0,1,13,0,10.6,-1,0,0,0,0,0,0
2026-03-03 03:12:14,344,node29,383,401,401,527,2986.0,3,1,0,29,0,9.4,-1,0,0,0,0,0,0
2026-03-03 03:12:14,344,node31,392,399,399,519,1121.6,1,0,1,14,0,10.4,-1,0,0,0,0,0,0
2026-03-03 03:12:52,382,node29,407,422,422,564,2992.1,3,1,0,29,0,8.8,-1,0,0,0,0,0,0
2026-03-03 03:12:52,382,node31,416,421,421,558,1130.7,1,0,1,16,0,11.0,-1,0,0,0,0,0,0
2026-03-03 03:13:31,421,node29,467,485,485,603,3046.6,3,1,0,33,0,9.1,-1,0,0,0,0,0,0
2026-03-03 03:13:31,421,node31,440,446,446,596,1138.7,1,0,1,17,0,10.8,-1,0,0,0,0,0,0
2026-03-03 03:14:09,459,node29,483,501,501,641,2962.1,3,1,0,34,0,9.1,-1,0,0,0,0,0,0
2026-03-03 03:14:09,459,node31,491,498,498,634,1139.2,1,0,1,18,0,10.7,-1,0,0,0,0,0,0
2026-03-03 03:14:48,498,node29,508,526,526,680,2951.2,3,1,0,36,0,9.1,-1,0,0,0,0,0,0
2026-03-03 03:14:48,498,node31,514,521,521,673,1169.8,1,0,1,19,0,10.3,-1,0,0,0,0,0,0
2026-03-03 03:15:26,536,node29,535,555,555,718,2906.3,3,1,0,37,0,8.9,-1,0,0,0,0,0,0
2026-03-03 03:15:26,536,node31,545,552,552,711,1182.7,1,0,1,20,0,10.2,-1,0,0,0,0,0,0
2026-03-03 03:16:05,575,node29,578,595,595,757,2859.2,3,1,0,40,0,9.2,-1,0,0,0,0,0,0
2026-03-03 03:16:05,575,node31,564,572,572,749,1185.9,1,0,1,20,0,9.7,-1,0,0,0,0,0,0
2026-03-03 03:16:42,612,node29,599,616,616,795,2824.8,3,1,0,41,0,9.0,-1,0,0,0,0,0,0
2026-03-03 03:16:42,612,node31,605,613,613,788,1173.9,1,0,1,21,0,9.8,-1,0,0,0,0,0,0
2026-03-03 03:17:21,651,node29,624,641,641,833,2808.5,3,1,0,42,0,8.8,-1,0,0,0,0,0,0
2026-03-03 03:17:21,651,node31,634,642,642,826,1177.8,1,0,1,21,0,9.3,-1,0,0,0,0,0,0
2026-03-03 03:17:59,689,node29,674,691,691,871,2804.5,3,1,0,44,0,8.7,-1,0,0,0,0,0,0
2026-03-03 03:17:59,689,node31,663,670,670,864,1176.3,1,0,1,22,0,9.2,-1,0,0,0,0,0,0
2026-03-03 03:18:38,727,node29,695,711,711,910,2808.2,3,1,0,48,0,9.1,-1,0,0,0,0,0,0
2026-03-03 03:18:38,727,node31,706,712,712,902,1157.7,1,0,1,22,0,9.0,-1,0,0,0,0,0,0
2026-03-03 03:19:15,765,node29,718,734,734,947,2792.9,3,1,0,52,0,9.5,-1,0,0,0,0,0,0
2026-03-03 03:19:15,765,node31,727,733,733,940,1179.0,1,0,1,24,0,9.2,-1,0,0,0,0,0,0
2026-03-03 03:19:54,804,node29,746,766,766,986,2849.4,3,1,0,56,0,9.7,-1,0,0,0,0,0,0
2026-03-03 03:19:54,804,node31,754,761,761,978,1188.0,1,0,1,24,0,8.8,-1,0,0,0,0,0,0
2026-03-03 03:20:31,841,node29,785,806,806,1023,2842.8,3,1,0,57,0,9.7,-1,0,0,0,0,0,0
2026-03-03 03:20:31,841,node31,777,784,784,1017,1193.9,1,0,1,25,0,9.0,-1,0,0,0,0,0,0
2026-03-03 03:21:10,880,node29,801,822,822,1062,2858.3,3,1,0,58,0,9.6,-1,0,0,0,0,0,0
2026-03-03 03:21:10,880,node31,804,811,811,1055,1198.7,1,0,1,26,0,9.1,-1,0,0,0,0,0,0
2026-03-03 03:21:47,917,node29,809,828,828,1100,2816.2,3,1,0,60,0,9.8,-1,0,0,0,0,0,0
2026-03-03 03:21:47,917,node31,813,820,820,1093,1214.6,1,0,1,26,0,8.9,-1,0,0,0,0,0,0
2026-03-03 03:22:26,956,node29,826,845,845,1138,2932.7,3,1,0,61,0,9.7,-1,0,0,0,0,0,0
2026-03-03 03:22:26,956,node31,832,838,838,1131,1164.5,1,0,1,26,0,8.8,-1,0,0,0,0,0,0
2026-03-03 03:23:04,994,node29,852,870,870,1176,2933.7,3,1,0,61,0,9.5,-1,0,0,0,0,0,0
2026-03-03 03:23:04,994,node31,842,848,848,1169,1246.8,1,0,1,26,0,8.6,-1,0,0,0,0,0,0
2026-03-03 03:23:43,1032,node29,862,879,879,1215,2834.5,3,1,0,61,0,9.4,-1,0,0,0,0,0,0
2026-03-03 03:23:43,1032,node31,864,869,869,1207,1229.9,1,0,1,26,0,8.5,-1,0,0,0,0,0,0
